;Aporte;AportePred;AporteMediaMovilQ;AporteMediaMovilS;AporteMediaMovilA;AportePredMediaMovilQ;AportePredMediaMovilS;AportePredMediaMovilA;Empresa
2022-04-01;109444000000.0;76633582572;66650110621.0;115402356064.0;95071170646.0;78721836788.0;79070458478.0;70668606664.0;Emp1
2022-05-01;53675678514.0;78795173431;71828065509.0;52948302483.0;94104518794.0;77925016963.0;81476051639.0;72286527768.0;Emp1
2022-06-01;218253000000.0;77141114325;127124226171.0;82105696646.0;107632073550.0;77523290109.0;79593113641.0;73733792290.0;Emp1
2022-07-01;44148136721.0;86428858110;105358938412.0;86004524516.0;101225918277.0;80788381955.0;79755109372.0;75976427853.0;Emp1
2022-08-01;71289959243.0;83647095370;111230365321.0;91529215415.0;100700853443.0;82405689268.0;80165353116.0;77646318945.0;Emp1
2022-09-01;185772000000.0;82834362107;100403365321.0;113763795746.0;107979490446.0;84303438529.0;80913364319.0;79171109947.0;Emp1
2022-10-01;120738557.0;89602600214;85727565933.0;95543252172.0;105472804118.0;85361352564.0;83074867260.0;81072662869.0;Emp1
2022-11-01;111747000000.0;83720613868;99213246186.0;105221805754.0;79085054118.0;85385858730.0;83895773999.0;82685912819.0;Emp1
2022-12-01;146353000000.0;85562479492;86073579519.0;93238472420.0;87672084533.0;86295231191.0;85299334860.0;82446224251.0;Emp1
2023-01-01;118644000000.0;89556782452;125581333333.0;105654449633.0;95829487075.0;86279958604.0;85820655584.0;82787882478.0;Emp1
2023-02-01;56609371537.0;91467658406;107202123846.0;103207685016.0;97368450216.0;88862306783.0;87124082756.0;83644717936.0;Emp1
2023-03-01;41108723121.0;89177998237;72120698219.0;79097138869.0;96430467308.0;90067479698.0;88181355445.0;84547359882.0;Emp1
2023-04-01;58009375115.0;86020991364;51909156591.0;88745244962.0;92144248567.0;88888882669.0;87584420636.0;85329643948.0;Emp1
2023-05-01;94020091435.0;84181506045;64379396557.0;85790760201.0;95506282977.0;86460165215.0;87661235999.0;85778504999.0;Emp1
2023-06-01;100683000000.0;84827528095;84237488850.0;78179093535.0;85708782977.0;85010008501.0;87538744100.0;86419039480.0;Emp1
2023-07-01;151015000000.0;85868540482;115239363812.0;83574260201.0;94614354917.0;84959191541.0;86924037105.0;86372346344.0;Emp1
